CLASS,SUBCLASS,FAMILY,DTAGA,CICON,CICON2
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavanones,Flavanones,Naringin,10600901,106009
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavones,Methoxyflavones,Cirsimaritin,10707301,107073
Flavonoids,Flavones,Methoxyflavones,Hispidulin,10707201,107072
Flavonoids,Flavonols,Flavonols,Kaempferol 3-O-rhamnosyl-rhamnosyl-glucoside,10812001,108120
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rhamnosyl-rhamnosyl-glucoside,10811901,108119
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rutinoside,10800701,108007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Rosmarinic acid,30201101,302011
Other polyphenols,Phenolic terpenes,Phenolic terpenes,Carnosic acid,90170101,901701
Other polyphenols,Phenolic terpenes,Phenolic terpenes,Rosmanol,90170201,901702
Flavonoids,Flavanones,Methoxyflavanones,Hesperetin,10600301,106003
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Methoxyflavonols,Isorhamnetin,10803401,108034
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Rosmarinic acid,30201101,302011
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gentisic acid,30100701,301007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavanones,Flavanones,Naringin,10600901,106009
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavones,Methoxyflavones,Cirsimaritin,10707301,107073
Flavonoids,Flavones,Methoxyflavones,Hispidulin,10707201,107072
Flavonoids,Flavonols,Flavonols,Kaempferol 3-O-rhamnosyl-rhamnosyl-glucoside,10812001,108120
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rhamnosyl-rhamnosyl-glucoside,10811901,108119
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rutinoside,10800701,108007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Rosmarinic acid,30201101,302011
Other polyphenols,Phenolic terpenes,Phenolic terpenes,Carnosic acid,90170101,901701
Other polyphenols,Phenolic terpenes,Phenolic terpenes,Rosmanol,90170201,901702
Flavonoids,Flavanones,Methoxyflavanones,Hesperetin,10600301,106003
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Methoxyflavonols,Isorhamnetin,10803401,108034
Flavonoids,Flavones,Flavones,Apigenin 7-O-diglucuronide,10709301,107093
Flavonoids,Flavones,Flavones,Luteolin 7-O-diglucuronide,10701301,107013
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Verbascoside,30202601,302026
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gentisic acid,30100701,301007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rutinoside,10800701,108007
Flavonoids,Flavanones,Methoxyflavanones,Hesperetin,10600301,106003
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Methoxyflavonols,Isorhamnetin,10803401,108034
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Protocatechuic acid,30100201,301002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acid dimers,Ellagic acid,30100801,301008
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gentisic acid,30100701,301007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavanones,Methoxyflavanones,Hesperetin,10600301,106003
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Methoxyflavonols,Isorhamnetin,10803401,108034
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gentisic acid,30100701,301007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Methoxyflavonols,Isorhamnetin,10803401,108034
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,2-Hydroxybenzoic acid,30103501,301035
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Protocatechuic acid,30100201,301002
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,o-Coumaric acid,30201201,302012
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rutinoside,10800701,108007
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Protocatechuic acid,30100201,301002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acid dimers,Ellagic acid,30100801,301008
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gentisic acid,30100701,301007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gentisic acid,30100701,301007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
